iter	RMSE
0	14.76130348
1	14.38998435
2	14.01284672
3	13.63823591
4	13.29341848
5	13.00846959
6	12.70154643
7	12.42918269
8	12.13943131
9	11.84625263
10	11.56353383
11	11.31883309
12	11.06504765
13	10.81795803
14	10.57854661
15	10.34079005
16	10.11854057
17	9.898902307
18	9.68799642
19	9.495921273
20	9.318199659
21	9.152040243
22	8.985368348
23	8.820953312
24	8.666513952
25	8.516863958
26	8.377076419
27	8.244701666
28	8.111716286
29	7.99640605
30	7.895842079
31	7.785171732
32	7.679975034
33	7.576727477
34	7.474801341
35	7.377338816
36	7.284016623
37	7.199924085
38	7.114394157
39	7.048646073
40	6.975532797
41	6.906507086
42	6.839136638
43	6.77765451
44	6.717023474
45	6.653052606
46	6.599318383
47	6.542589374
48	6.482424026
49	6.423351999
50	6.369007363
51	6.314738893
52	6.265786688
53	6.220201978
54	6.174773014
55	6.133285133
56	6.09534984
57	6.059101353
58	6.030184795
59	6.000402655
60	5.968756661
61	5.931649783
62	5.902298333
63	5.867724672
64	5.839520611
65	5.811967369
66	5.781718385
67	5.753683392
68	5.733267208
69	5.707523683
70	5.685484855
71	5.659775235
72	5.641794418
73	5.618994711
74	5.599408404
75	5.577791407
76	5.561144887
77	5.546802101
78	5.531256978
79	5.514584436
80	5.498629489
81	5.483454516
82	5.467094651
83	5.452714626
84	5.436321818
85	5.420257939
86	5.406121102
87	5.394024643
88	5.378297739
89	5.358496827
90	5.345542506
91	5.335846023
92	5.321437559
93	5.314264804
94	5.30604386
95	5.28987148
96	5.281874788
97	5.27138895
98	5.259932633
99	5.249278899
100	5.239479481
101	5.230704552
102	5.223394983
103	5.213749891
104	5.204575561
105	5.194110325
106	5.181379974
107	5.174611915
108	5.167924709
109	5.160769766
110	5.159413934
111	5.152237313
112	5.141902007
113	5.135977196
114	5.132053849
115	5.125912378
116	5.120521142
117	5.115105669
118	5.110918549
119	5.101851978
120	5.096790795
121	5.093049708
122	5.085080715
123	5.07998056
124	5.07377033
125	5.065931467
126	5.057736016
127	5.052745445
128	5.047060416
129	5.040573798
130	5.032804835
131	5.025565762
132	5.017763774
133	5.013898051
134	5.011490525
135	5.008377279
136	5.003866084
137	4.997661863
138	4.990701108
139	4.98807734
140	4.98624584
141	4.982978407
142	4.982015714
143	4.977118874
144	4.971372861
145	4.969240734
146	4.96448102
147	4.959709629
148	4.9556001
149	4.949498579
150	4.94835201
151	4.944996979
152	4.939882556
153	4.937443731
154	4.930816211
155	4.93021651
156	4.924108908
157	4.917390804
158	4.915484778
159	4.912843934
160	4.910636119
161	4.905653736
162	4.901722137
163	4.896666921
164	4.893041623
165	4.889247979
166	4.883930096
167	4.881707186
168	4.876454678
169	4.873227089
170	4.870876039
171	4.86617944
172	4.864839702
173	4.860161809
174	4.857048652
175	4.852874038
176	4.847285617
177	4.845544493
178	4.839489068
179	4.834572282
180	4.828371885
181	4.822434657
182	4.817726783
183	4.815020171
184	4.81229262
185	4.809897544
186	4.80540157
187	4.800765988
188	4.79699661
189	4.793144564
190	4.792610642
191	4.78845851
192	4.786237964
193	4.78384757
194	4.781418183
195	4.777135501
196	4.776220537
197	4.774037021
198	4.769619024
199	4.767316657
200	4.762460921
201	4.756330697
202	4.753486831
203	4.750443175
204	4.748432649
205	4.742600276
206	4.739790357
207	4.736882931
208	4.734240924
209	4.731963132
210	4.731158029
211	4.728375951
212	4.725866607
213	4.723948276
214	4.720946602
215	4.71646721
216	4.714033006
217	4.711466315
218	4.708102961
219	4.706431829
220	4.703757957
221	4.700537438
222	4.695896418
223	4.693169457
224	4.691026595
225	4.69028217
226	4.686679782
227	4.683720884
228	4.681185994
229	4.678757256
230	4.672444274
231	4.668575213
232	4.664337961
233	4.662297234
234	4.655008094
235	4.652120451
236	4.647828283
237	4.644251616
238	4.642667473
239	4.639270237
240	4.637599502
241	4.633969133
242	4.630434967
243	4.628275991
244	4.6258054
245	4.618125951
246	4.613138558
247	4.609016533
248	4.605427698
249	4.602701258
250	4.601583927
251	4.600197725
252	4.594888549
253	4.592760034
254	4.590199936
255	4.586447518
256	4.580562045
257	4.577428996
258	4.572282171
259	4.567480573
260	4.564168134
261	4.561869184
262	4.559977207
263	4.557183098
264	4.552070644
265	4.551204139
266	4.547333077
267	4.54337642
268	4.541493053
269	4.538889532
270	4.535773337
271	4.534518135
272	4.529725319
273	4.526102244
274	4.524318254
275	4.519629923
276	4.512510967
277	4.508036372
278	4.504421713
279	4.501457562
280	4.498621082
281	4.497727317
282	4.49453746
283	4.492819272
284	4.489697435
285	4.485790343
286	4.483385258
287	4.482145177
288	4.478348213
