iter	Passed	Remaining
0	149	148906
1	150	75139
2	152	50558
3	153	38164
4	154	30714
5	155	25822
6	157	22350
7	158	19714
8	160	17645
9	161	15974
10	162	14605
11	163	13490
12	165	12547
13	166	11725
14	167	10995
15	169	10394
16	169	9828
17	170	9312
18	171	8861
19	172	8459
20	174	8114
21	175	7820
22	177	7521
23	177	7232
24	179	6982
25	179	6739
26	180	6518
27	181	6316
28	183	6134
29	184	5969
30	185	5807
31	186	5641
32	188	5512
33	189	5374
34	190	5263
35	192	5141
36	192	5018
37	193	4910
38	195	4817
39	196	4724
40	198	4635
41	199	4540
42	199	4446
43	200	4355
44	201	4277
45	204	4231
46	204	4154
47	205	4079
48	206	4015
49	207	3945
50	208	3876
51	209	3811
52	210	3753
53	211	3709
54	212	3651
55	213	3593
56	213	3536
57	214	3482
58	215	3431
59	216	3386
60	217	3348
61	219	3321
62	220	3276
63	221	3235
64	222	3201
65	223	3161
66	224	3126
67	225	3091
68	226	3053
69	226	3014
70	227	2978
71	228	2942
72	229	2908
73	230	2884
74	232	2864
75	233	2837
76	234	2806
77	234	2775
78	235	2745
79	236	2716
80	237	2692
81	238	2665
82	238	2640
83	240	2618
84	240	2594
85	241	2568
86	242	2543
87	242	2518
88	243	2493
89	244	2472
90	245	2451
91	247	2444
92	248	2424
93	249	2400
94	249	2380
95	250	2359
96	251	2341
97	252	2322
98	253	2309
99	255	2299
100	256	2282
101	257	2263
102	257	2244
103	258	2226
104	259	2211
105	260	2195
106	263	2198
107	264	2185
108	265	2168
109	266	2154
110	266	2134
111	267	2121
112	268	2109
113	269	2097
114	270	2083
115	271	2068
116	272	2054
117	273	2040
118	273	2027
119	274	2016
120	276	2010
121	277	1998
122	278	1986
123	279	1973
124	280	1960
125	281	1949
126	281	1937
127	282	1924
128	283	1915
129	284	1907
130	285	1895
131	286	1883
132	287	1871
133	287	1860
134	288	1848
135	289	1837
136	290	1829
137	291	1821
138	293	1817
139	294	1807
140	294	1796
141	295	1786
142	296	1774
143	296	1765
144	298	1758
145	299	1749
146	300	1740
147	300	1730
148	301	1721
149	301	1711
150	302	1700
151	303	1691
152	306	1699
153	307	1691
154	308	1682
155	309	1672
156	309	1663
157	310	1655
158	311	1647
159	312	1639
160	314	1638
161	315	1631
162	316	1623
163	316	1615
164	317	1607
165	318	1598
166	319	1591
167	320	1584
168	322	1585
169	323	1579
170	324	1571
171	325	1564
172	326	1558
173	326	1551
174	327	1545
175	329	1540
176	329	1534
177	330	1526
178	331	1519
179	332	1512
180	332	1506
181	333	1499
182	334	1495
183	336	1490
184	337	1484
185	337	1477
186	338	1471
187	339	1464
188	339	1457
189	340	1451
190	340	1443
191	341	1436
192	341	1429
193	342	1424
194	344	1420
195	345	1419
196	346	1413
197	347	1406
198	347	1400
199	348	1395
200	349	1390
201	351	1388
202	352	1383
203	353	1377
204	353	1372
205	354	1367
206	355	1361
207	356	1355
208	356	1349
209	357	1343
210	357	1338
211	359	1334
212	359	1330
213	360	1324
214	361	1319
215	361	1313
216	363	1310
217	363	1304
218	365	1302
219	365	1296
220	366	1292
221	367	1288
222	368	1283
223	368	1277
224	369	1272
225	370	1267
226	370	1262
227	371	1257
228	371	1252
229	372	1247
230	373	1244
231	374	1239
232	375	1235
233	376	1230
234	376	1226
235	377	1221
236	377	1216
237	378	1211
238	379	1206
239	379	1202
240	380	1198
241	381	1194
242	381	1189
243	382	1185
244	383	1180
245	383	1176
246	384	1171
247	384	1167
248	385	1162
249	386	1158
250	386	1153
251	387	1150
252	388	1148
253	389	1144
254	390	1140
255	390	1136
256	391	1132
257	392	1127
258	392	1123
259	393	1119
260	394	1116
261	395	1114
262	396	1111
263	397	1107
264	398	1103
265	398	1100
266	399	1096
267	399	1092
268	400	1088
269	401	1084
